L_FW_X	L_FW_Y	L_HW_X	L_HW_Y	L_Band_X	L_Band_Y	L_N1_X	L_N1_Y	L_N2_X	L_N2_Y	L_N3_X	L_N3_Y	L_N4_X	L_N4_Y	L_BandN1_X	L_BandN1_Y	L_BandN2_X	L_BandN2_Y	L_BandN3_X	L_BandN3_Y	L_BandN4_X	L_BandN4_Y	L_Yb_X	L_Yb_Y	L_Hwden_X	L_Hwden_Y	L_Fwden1_X	L_Fwden1_Y	L_Fwden2_X	L_Fwden2_Y	L_Fwden3_X	L_Fwden3_Y	L_Fwden4_X	L_Fwden4_Y	L_ray1_X	L_ray1_Y	L_ray2_X	L_ray2_Y	L_ray3_X	L_ray3_Y	L_ray4_X	L_ray4_Y	L_ray6_X	L_ray6_Y	L_ray5_X	L_ray5_Y
69.85206	131.7458	50.387335	163.05649	63.13453	106.22805	63.125	90.665753	78.928572	75.040753	84.220981	64.35102	95.625	51.647896	63.125738	90.651072	77.732719	74.917311	82.510056	64.085657	95.27776	51.521627	115.97724	169.2351	94.576766	160.18189	127.78985	126.10388	169.51533	128.32392	132.8973	102.18623	144.85237	81.595906	144.26152	210.65135	128.73042	215.82839	114.71455	214.06062	99.05719	208.88359	78.6016	184.13485	88.19805	196.50922
69.85206	131.7458	50.660015	162.17009	63.13615	106.13105	62.847229	90.686725	78.490301	74.999021	83.640508	64.336105	95.571703	51.589783	62.847967	90.672044	77.10273	74.962538	81.941464	63.967191	94.845656	51.305678	115.97724	169.2351	94.576766	160.18189	127.00245	125.89584	169.18097	128.31829	132.55671	102.06127	145.98583	82.493527	144.26152	210.65135	128.56348	215.5771	114.06519	213.84545	98.815743	208.63037	78.434764	183.92614	88.020042	196.28246
66.903896	130.86384	50.989811	161.31559	63.27437	105.50901	62.181809	90.391229	77.335923	74.96137	83.078647	64.204122	95.023808	51.317408	62.182547	90.376548	75.266036	75.178761	81.062445	63.881823	95.023808	51.317408	115.17667	168.9149	96.380028	158.70442	126.42346	125.64126	168.12905	128.20764	132.21141	101.94931	147.45589	83.635208	144.53062	209.75717	128.61332	214.56959	114.7226	213.66503	98.822599	207.62225	78.635936	183.24417	88.051209	195.44861
66.903896	130.86384	51.370705	160.49245	63.4828	104.84439	61.910438	89.950371	76.705933	75.006597	82.510056	64.085657	94.428477	51.06429	61.911176	89.93569	75.000001	75.219324	80.758748	63.901402	94.428477	51.06429	115.17667	168.9149	96.380028	158.70442	125.85817	125.38386	167.38663	128.06324	131.86671	101.83579	148.88466	84.783043	144.88614	208.67874	128.99459	213.78048	114.72951	213.3253	99.288445	206.83476	79.187463	182.76465	88.434204	194.8165
66.903896	130.86384	51.751599	159.66931	63.69123	104.17977	61.639066	89.509514	76.075944	75.051824	81.941464	63.967191	93.833145	50.811172	61.639804	89.494833	74.733965	75.259887	80.455051	63.920981	93.833145	50.811172	115.17667	168.9149	96.380028	158.70442	125.29288	125.12646	166.64422	127.91885	131.52201	101.72226	150.31343	85.930879	145.24166	207.60031	129.37585	212.99137	114.7759	213.13497	99.754291	206.04727	79.73899	182.28514	88.817199	194.18439
64.25025	129.6236	52.183591	158.87754	63.9715	103.37557	61.438757	88.71646	75.266036	75.178761	81.062445	63.881823	92.882312	50.383378	61.439495	88.701779	74.094306	75.274546	79.750354	63.784522	92.882312	50.383378	112.94679	167.9724	98.626519	157.82217	124.37501	124.75658	165.49284	127.6507	131.1779	101.60717	151.70092	87.084868	145.85644	205.96911	130.08362	211.85231	115.03684	212.55304	100.63132	204.90882	80.674238	181.57815	89.543647	193.25048
64.25025	129.6236	52.660662	158.11658	64.26208	102.62325	61.393541	88.488654	75.000001	75.219324	80.758748	63.901402	92.627545	50.247557	61.394279	88.473973	73.495004	75.305217	79.002494	63.608711	92.627545	50.247557	112.94679	167.9724	98.626519	157.82217	124.00873	124.64693	165.10874	127.56631	130.83966	101.47596	152.66924	88.007106	146.02928	205.60059	130.24565	211.53524	115.37482	211.86492	100.82496	204.59044	80.87444	181.35693	89.71328	192.97369
64.25025	129.6236	53.137733	157.35562	64.55266	101.87093	61.348325	88.260848	74.733965	75.259887	80.455051	63.920981	92.372778	50.111736	61.349063	88.246167	72.895701	75.335888	78.254634	63.432901	92.372778	50.111736	112.94679	167.9724	98.626519	157.82217	123.64244	124.53728	164.72464	127.48193	130.37579	101.29601	153.19721	88.510538	146.20212	205.23207	130.40768	211.21817	115.7128	211.17681	101.0186	204.27206	81.074642	181.13571	89.882913	192.6969
62.66957	128.4404	53.659884	156.62548	64.88069	100.88626	61.3067	87.780247	74.094306	75.274546	79.750354	63.784522	92.184947	49.916142	61.307438	87.765566	72.284448	75.434876	77.225435	63.148824	92.184947	49.916142	110.46375	167.236	101.05162	157.24405	122.76874	124.34807	163.8784	127.25468	129.88187	101.08706	153.86039	89.131959	146.57955	204.56878	130.61821	210.68159	116.30507	210.07499	101.50288	203.72559	81.504488	180.68225	90.272894	192.21361
62.66957	128.4404	54.221095	155.92561	65.14882	99.996061	61.294478	87.237728	73.495004	75.305217	79.002494	63.608711	91.977351	49.698503	61.295216	87.223047	72.232143	75.487182	76.987259	63.07991	91.977351	49.698503	110.46375	167.236	101.05162	157.24405	121.84337	124.09895	162.95166	127.00118	129.43987	100.81647	154.52424	89.747593	147.00917	203.85576	130.88816	210.0822	116.48232	209.76747	102.04385	203.12157	81.985034	180.19515	90.741148	191.66236
